书名,ISBN,出版年份,类型,拓展性Head&Select,阅读质量,出版社,备注
《C专家编程》,9787115521323,2020,翻译,3,10,人邮出版社,NULL
《彻底搞懂C指针》,8888888888888,2010,个人,3,10,姚云飞,NULL
《编译原理与技术》第二版,9787302441410,2016,中文,2,7,清华出版社,大学教材
《操作系统概念》第七版,9787040283419,2010,翻译,3,8,高教出版社,大学教材
《Operating System Concepts》Seventh  Edition,0471694665,2005,外文,1,10,John Wiley &  Sons Inc,教材原版
《程序员面试宝典》第5版,9787121270574,2015,中文,2,8,电子工业,NULL
《计算机网络》第七版,9787121302954,2017,中文,2,9,电子工业,NULL
《计算机网络教程—自顶向下方法》,9787111400882,2013,翻译,1,10,McGraw-Hill&机械工业,大理石
《计算机网络—自顶向下方法》第七版,9787111599715,2018,翻译,2,6,Pearson&机械工业,大理石
《计算机组成结构化方法》第六版,9787111453802,2014,翻译,2,8,Pearson&机械工业,大理石
《计算机组成与设计：硬件/软件接口》第四版,9787111353058,2012,翻译,0,8,Elsevier&机械工业,大理石
《离散数学及其应用》第七版,9787111453826,2014,翻译,2,8,McGraw-Hill&机械工业,大理石
《Discrete Mathematicsand Its Applications》Seventh  Edition,9780073383095,2012,外文,3,10,McGraw-Hill,NULL
《深入理解计算机系统》第三版,9787111544937,2016,翻译,2,9,Pearson&机械工业,大理石
《数据结构(C语言版)》,9787302147510,2009,中文,2,9,清华出版社,大学教材
《数据结构与算法分析—C语言描述》,9787111127482,2004,翻译,2,6,Pearson&机械工业,大理石
《数据库系统概念》第六版,9787111375296,2012,翻译,2,8,McGraw-Hill&机械工业,大理石
《Clean Code》,9780132350884,2009,外文,3,10,Pearson,NULL
《代码简洁之道》,9787115216878,2010,翻译,2,9,Pearson&人邮,NULL
《高质量C编程指南》,8888888888888,2001,个人,3,10,林锐博士,NULL
《深入理解C指针》,9787115344489,2014,翻译,3,10,O'Reilly Media Inc&图灵文化,NULL
